time,open,high,low,close
1769594400,164270,164297,163912,164167
1769596200,164090,164262,163960,164050
1769598000,164050,164054,163721,163950
1769599800,163950,163989,163500,163695
1769601600,163690,163854,163615,163803
1769603400,163895,164200,163825,164140
1769605200,164125,164300,163974,164150
1769607000,164150,164249,164016,164207
1769608800,164207,164207,163768,163818
1769610600,163813,164445,163700,163857
1769612400,163908,164341,163723,163970
1769614200,163966,164300,163850,164280
1769616000,164264,164666,164221,164649
1769617800,164649,164985,164304,164985
1769619600,164986,166388,164986,166200
1769621400,166091,166152,165404,165701
1769623200,165759,166500,165611,166355
1769657400,170892,178100,169882,178001
1769659200,178150,180700,178003,180415
1769661000,180500,180779,175512,178702
1769662800,178708,179390,175855,177780
1769664600,177797,178346,176612,177024
1769666400,177141,177553,176500,177553
1769668200,177550,177751,177000,177174
1769670000,177040,177554,175464,175800
1769671800,175609,177030,175609,176855
1769673600,176700,176956,174404,174787
1769675400,174500,175677,172800,175225
1769677200,175200,175798,174581,175200
1769679000,175250,176455,175100,175300
1769680800,175100,175500,174000,174954
1769682600,174992,175198,174250,174409
1769684400,174351,175100,174000,175000
1769686200,175076,176300,175000,176300
1769688000,176300,177740,176196,177500
1769689800,177396,177399,176190,176579
1769691600,176524,176994,176099,176266
1769693400,176500,176651,174500,174704
1769695200,174879,176555,174670,176479
1769697000,176300,176392,175056,175599
1769698800,175262,175498,157808,160649
1769700600,159303,166000,159000,165000
1769702400,164887,169776,164200,168564
1769704200,168991,169643,167258,169000
1769706000,168824,170500,168380,170400
1769707800,170207,170356,169000,169476
1769709600,169700,170500,168702,169600
1769743800,167899,167999,159250,165000
1769745600,165200,167750,165125,167656
1769747400,167774,168000,167200,167200
1769749200,167200,167950,166500,167500
1769751000,167500,167500,163800,163988
1769752800,163983,165376,163350,163700
1769754600,163510,163900,162701,163422
1769756400,163511,165700,162600,165400
1769758200,165302,165553,164500,164908
1769760000,164900,164900,163640,164020
1769761800,164020,164150,161350,162210
1769763600,162200,162215,159239,159239
1769765400,159239,159269,154157,155700
1769767200,155777,160900,155200,159979
1769769000,160645,164638,159892,164638
1769770800,164101,164500,161822,163549
1769772600,162936,164399,159660,161000
1769774400,161797,161837,160401,160952
1769776200,160937,162155,159500,160300
1769778000,159998,160995,158715,159100
1769779800,158730,159724,156000,157707
1769781600,158499,161500,158499,161500
1769783400,161450,163000,158955,159500
1769785200,159000,159700,158462,158900
1769787000,158900,159691,158001,158005
1769788800,158200,158200,154215,154442
1769790600,154790,155801,154157,154157
1769792400,154157,154157,154157,154157
1769794200,149080,150841,149075,149075
1769796000,149075,150841,149075,149075
1769916600,145164,146800,136185,136185
1769918400,136185,140176,136185,140176
1769920200,140000,143297,139499,142622
1769922000,144285,144285,139912,140900
1769923800,138717,142501,138000,141000
1769925600,141700,143170,141700,142000
1769927400,141974,143480,141100,142500
1769929200,142500,143355,141500,143217
1769931000,143000,143300,142500,142800
1769932800,142600,144500,142550,144201
1769934600,143813,144998,143813,144400
1769936400,145000,145600,143700,144448
1769938200,142556,143500,142556,143500
1769940000,142600,143400,142511,142600
1769941800,143632,143632,142596,142596
1769943600,142998,143000,141504,143000
1770003000,146500,147407,143321,143321
1770004800,143321,144990,140001,143449
1770006600,143496,146400,143496,144300
1770008400,144398,145754,143501,144100
1770010200,144100,144189,139590,140924
1770012000,140602,141858,138888,139154
1770013800,138888,139887,137065,139200
1770015600,139236,141440,138384,141135
1770017400,140870,143150,140222,142490
1770019200,142306,144440,141501,143999
1770021000,144118,144444,142403,143850
1770022800,144098,145648,142309,145394
1770024600,145155,148796,145128,148012
1770026400,147779,148600,145001,145989
1770028200,145991,147649,145238,147499
1770030000,147362,148999,146724,148969
1770031800,148844,150890,148502,149338
1770033600,149286,149989,148052,149567
1770035400,149551,150648,149135,150100
1770037200,150200,150331,148020,148470
1770039000,148416,148492,146001,147550
1770040800,147680,148805,146652,148168
1770042600,147961,150099,147281,148133
1770044400,147762,148595,146971,146971
1770046200,147073,147643,144535,144638
1770048000,144505,147399,143715,145650
1770049800,145500,146415,144816,145494
1770051600,145511,146748,144801,144943
1770053400,145000,145600,144707,145001
1770055200,145005,145005,143000,143000
1770089400,148000,149485,147215,148723
1770091200,148648,149200,148200,148200
1770093000,148159,149197,148159,148705
1770094800,148765,149996,148723,149947
1770096600,149771,149771,148896,149651
1770098400,149526,151330,149268,151206
1770100200,151293,152000,151024,151589
1770102000,151423,152254,151340,152100
1770103800,152110,152950,152100,152551
1770105600,152696,153290,151700,153165
1770107400,153165,153460,152001,152001
1770109200,152091,152764,151000,151428
1770111000,151229,152498,151075,151914
1770112800,151871,152498,151650,151800
1770114600,151742,152299,151741,151813
1770116400,151800,152086,151346,151999
1770118200,151791,152231,151600,152100
1770120000,152179,152900,151491,151840
1770121800,151989,152450,151873,152217
1770123600,152359,153111,151997,153000
1770125400,152972,153806,152803,153198
1770127200,153175,153175,152165,153065
1770129000,152972,153101,152100,152544
1770130800,152515,153475,152250,152881
1770132600,152997,152998,152434,152952
1770134400,152939,154999,152939,154995
1770136200,155087,155799,154356,154600
1770138000,154659,154995,153101,154200
1770139800,154466,154777,153256,153843
1770141600,153781,154199,153328,153650
1770175800,158420,160755,156553,159568
1770177600,159516,159798,158821,159210
1770179400,159250,159799,159128,159799
1770181200,159746,160000,159621,159999
1770183000,159999,160658,159700,160401
1770184800,160385,160558,159250,159400
1770186600,159308,160022,159308,159800
1770188400,159902,160030,159400,159700
1770190200,159700,159892,159290,159600
1770192000,159534,159710,159420,159587
