time,open,high,low,close
1778151600,153053,153074,153000,153055
1778151900,153050,153062,153000,153000
1778152200,153009,153019,152912,152912
1778152500,152952,152952,152891,152910
1778152800,152933,153021,152873,153003
1778153100,153003,153092,152951,152959
1778153400,153000,153058,152990,153050
1778153700,153049,153078,152997,153010
1778154000,153027,153038,153027,153030
1778154300,153038,153076,153031,153050
1778154600,153018,153092,153018,153092
1778154900,153098,153191,153098,153186
1778155200,153137,153191,153070,153070
1778155500,153090,153110,153080,153080
1778155800,153060,153186,153060,153186
1778156100,153182,153247,153150,153185
1778156400,153150,153192,152948,152974
1778156700,152960,153060,152921,153014
1778157000,153069,153277,153005,153200
1778157300,153185,153244,153122,153207
1778157600,153200,153300,153200,153255
1778157900,153260,153271,153213,153230
1778158200,153205,153205,153167,153192
1778158500,153151,153171,153120,153167
1778158800,153201,153201,152929,152933
1778159100,152934,153031,152906,153000
1778159400,152950,152961,152800,152800
1778159700,152809,152976,152809,152953
1778160000,152916,152997,152902,152997
1778160300,152963,153037,152946,153037
1778160600,152969,153393,152969,153300
1778160900,153299,153300,153161,153235
1778161200,153203,153275,153164,153220
1778161500,153205,153205,152990,152995
1778161800,153051,153051,152916,153051
1778162100,153024,153181,153024,153140
1778162400,153130,153148,153000,153017
1778162700,153071,153113,153071,153113
1778163000,153100,153287,153061,153222
1778163300,153299,153299,153080,153200
1778163600,153281,153373,153244,153373
1778163900,153379,153415,153309,153351
1778164200,153360,153374,153154,153154
1778164500,153161,153277,153149,153222
1778164800,153300,153323,153249,153249
1778165100,153225,153339,153225,153333
1778165400,153340,153400,153330,153400
1778165700,153414,153439,153368,153438
1778166000,153438,153499,153321,153368
1778166300,153362,153362,153255,153338
1778166600,153370,153425,153269,153269
1778166900,153269,153319,153250,153319
1778167200,153154,153200,153137,153137
1778167500,153105,153194,152916,152987
1778167800,153071,153156,153061,153150
1778168100,153125,153125,153099,153099
1778168400,153100,153108,152980,152980
1778168700,152979,152990,152917,152917
1778169000,152915,152978,152859,152869
1778169300,152869,152888,152774,152825
1778169600,152800,152800,152669,152669
1778169900,152652,152673,152465,152465
1778170200,152471,152569,152409,152436
1778170500,152437,152437,152185,152250
1778170800,152255,152596,152255,152596
1778171100,152571,152720,152571,152670
1778171400,152574,152612,152452,152580
1778171700,152610,152610,152451,152451
1778172000,152451,152477,152412,152432
1778172300,152438,152525,152438,152517
